#2 v abc;0\2VABC_27431_01.zip
$#!7;0\__!7_26863_01.zip
Barbarian Jnr.;b1\BARBARJR_00619_01.zip
Barbarian Land;b1\BARBLAND_13645_02.zip
Barbaros;b1\BARBAROS_00620_01.zip
Barbie;b1\BARBIE_00621_02.zip
Bard, The;b1\BARD_16811_01.zip
Bardiax I;b1\BARDIAX1_23729_01.zip
Bard's Tale , The  - Tales of the Unknown;b1\BTALE1E0_17616_01.zip
Bard's Tale , The  - Tales of the Unknown;b1\BTALE1D0_13932_01.zip
Bard's Tale , The - Tales of the Unknown;b1\BTALE1-0_00622_04.zip
Bard's Tale II, The - The Destiny Knight;b1\BTALE2-0_00623_03.zip
Bard's Tale III, The - Thief of Fate;b1\BTALE3-0_00624_04.zip
Barman;b1\BARMAN_16341_01.zip
Barman;b1\BARMAN2_28568_01.zip
Barmy Bill's Flight of Fun;b1\BBFLIGHT_00625_01.zip
Barmy Builders;b1\BARMYBUI_00626_01.zip
Barney - The Cowfish;b1\BARNEY_21873_01.zip
Barney Brown and the Chicago Connection;b1\BARNEYBR_00627_01.zip
Barney the Dinosaur;b1\BARNEYTD_26427_01.zip
Barney the Elf;b1\BARNEYTE_19389_01.zip
Barnsley Badger;b1\BARNSLEY_26582_02.zip
Barnstorm;
Baron - The Real Estate Simulation;b1\BARON0_10520_01.zip
Barone Rosso;b1\BARONERO_21870_01.zip
Baroness;b1\BARONESS_13947_02.zip
Barr;b1\BARRE_00628_01.zip
Barrel Bunger [Preview];b1\BARRELB-_00629_01.zip
Barrel Jump;
Barrel Jump;b1\BARRELJU_09393_02.zip
Barrel Jumper;b1\BARRELJM_19419_01.zip
Barrel of Fun;b1\BARRELF2_21413_01.zip
Barrel of Fun;b1\BARRELF1_19997_01.zip
Barricade;b1\BARRICA1_00630_01.zip
Barricade;b1\BARRICA2_09647_02.zip
Barricade;b1\BARRICA3_10590_01.zip
Barrier Battle;b1\BARRIERB_10933_01.zip
Barriere;b1\BARRIERE_26288_01.zip
Barriers;b1\BARRIERS_27588_01.zip
Barrier-System;b1\BARR-SYS_00631_01.zip
Barrikade;b1\BARRIKAD_13809_01.zip
Barrikade;b1\BARRIKDE_21339_01.zip
Barry McGuigan World Championship Boxing;b1\BMBOXING_00632_03.zip
Bart Simpson;b1\BARTSIMP_13163_01.zip
Barter;b1\BARTER_25884_01.zip
Base;b1\BASE_25885_01.zip
Base 3;b1\BASE3_00634_01.zip
Base Alfa;b1\BASEALFA_24458_01.zip
Base Luna;b1\BASELUNA_28151_01.zip
Base Lunar;b1\BASELUN1_19892_01.zip
Base Lunar;b1\BASELUN2_20401_01.zip
Base Lunare;b1\BASELNR2_22009_01.zip
Base Lunare;b1\BASELNR1_20931_01.zip
Base Sottomarina;b1\BASESOTT_14007_01.zip
Baseball;b1\BASEBAL2_14017_01.zip
Baseball;b1\BASEBAL3_20266_01.zip
Baseball;b1\BASEBAL4_28612_01.zip
Baseball;b1\BASEBAL1_10591_01.zip
Baseball Adventure;b1\BASEBADV_10146_01.zip
Baseball Madlib;b1\BASEBMAD_21703_01.zip
Baseline;b1\BASELINE_00635_01.zip
Basen;b1\BASEN_15144_01.zip
Bash Yer Brains!;b1\BASHYERB_00636_01.zip
Basi di Algebra;
Basi Sotterranee;b1\BASISOTT_20941_02.zip
Basic;b1\BASIC_22056_02.zip
BASIC Adventure;b1\BASICADV_24649_02.zip
BASIC Adventures in Space - Part 1 - The Alien Planet;b1\BASICADV_25967_01.zip
Basic Arithmetic;
BASIC Battleships;b1\BASICBAT_26986_01.zip
Basic Machines I;
Basic Machines II;
Basic Math;b1\BASICMTH_20402_01.zip
Basic Maths;b1\BASICMAT_13719_01.zip
BASIC Sex;b1\BASICSEX_27038_01.zip
Basic Test;b1\BASICTST_23773_01.zip
BASIC Tetris;b1\BASICTET_24650_01.zip
BASIC Tetris;b1\BASICTE2_27076_01.zip
BasicBall;b1\BASICBAL_27377_01.zip
Basil the Great Mouse Detective;b1\BASIL0_00637_02.zip
Basket;b1\BASKET_28570_01.zip
Basket Americano, Il;b1\BASKETAM_21868_01.zip
Basket Case;b1\BASKETCA_12223_01.zip
Basket da Campioni;b1\BASKETDC_21109_01.zip
Basket Manager, The;b1\BASKETMA_14507_01.zip
Basket Master;b1\BASKETMA_00639_01.zip
Basket Playoff;b1\BASKETPO_00640_02.zip
Basketball;b1\BASKETB1_18869_01.zip
Basketball;b1\BASKETB2_19384_01.zip
Basketball - The Game of all Games;b1\BASKETBA_00641_01.zip
Basketball - The Pro Game;b1\BASKBALL_00642_01.zip
Basketball Action;b1\BASKACTN_21647_01.zip
Basketball Manager;b1\BASKETBM_00643_01.zip
Basketball Sam & Ed;b1\BASKETSE_06546_01.zip
Bastard [Preview];b1\BASTARD-_00644_01.zip
Bastion;b1\BASTION_00645_02.zip
Bat;b1\BAT1_19630_01.zip
Bat;b1\BAT_00647_01.zip
BAT;b1\BAT0_00646_01.zip
Bat Attack;b1\BATATTAC_00648_03.zip
Bat Boy;b1\BATBOY_14069_01.zip
Bat!;b1\BAT!_13738_01.zip
Bataille de chars;b1\BATCHARS_26788_01.zip
Bataille Navale;b1\BATAILLE_28962_01.zip
Batalla de Inglaterra, La;b1\BATALLA_16279_01.zip
Batalla Estelar;b1\BATALLAE_19893_01.zip
Batalla Naval;b1\BATALLA1_21840_01.zip
Batalla Naval - Sea Battle;b1\BATALLAN_20179_01.zip
Batalyx;b1\BATALYX_00650_01.zip
Baterias;b1\BATERIAS_30061_01.zip
Bath Time;b1\BATHTIME_00651_01.zip
Bathroom Chaos;b1\BATHROOM_13762_01.zip
Baths;b1\BATHS_17789_01.zip
Batman - The Caped Crusader;b1\BATMAN-0_00652_02.zip
Batman - The Movie;b1\BATMAN_00653_02.zip
Batman 01;b1\BATMAN01_18313_01.zip
Batman 02;b1\BATMAN02_18314_01.zip
Batman 03;b1\BATMAN03_18315_01.zip
Batman 04;b1\BATMAN04_18362_01.zip
Batman 05;b1\BATMAN05_18363_01.zip
Batman 06;b1\BATMAN06_18364_01.zip
Batman 07;b1\BATMAN07_18365_01.zip
Batman 08;b1\BATMAN08_18366_01.zip
Batman 09;b1\BATMAN09_18367_01.zip
Batman 10;b1\BATMAN10_18368_01.zip
Batman 11;b1\BATMAN11_18369_01.zip
Batman 12;b1\BATMAN12_18370_01.zip
Batman 13;b1\BATMAN13_18371_01.zip
Batman 14;b1\BATMAN14_18372_01.zip
Batman 15;b1\BATMAN15_18373_01.zip
Batman 16;b1\BATMAN16_18374_01.zip
Batman 17;b1\BATMAN17_18375_01.zip
Batman 18;b1\BATMAN18_18376_01.zip
Batman 19;b1\BATMAN19_18377_01.zip
Batman 20;b1\BATMAN20_18378_01.zip
Batman 21;b1\BATMAN21_18379_01.zip
Batman 22;b1\BATMAN22_18380_01.zip
Batman 23;b1\BATMAN23_18381_01.zip
Batman 24;b1\BATMAN24_18382_01.zip
Batman 25;b1\BATMAN25_18383_01.zip
Batman 26;b1\BATMAN26_18384_01.zip
Batman 27;b1\BATMAN27_18385_01.zip
Batman 28;b1\BATMAN28_18386_01.zip
Batman 29;b1\BATMAN29_18387_01.zip
Batman 30;b1\BATMAN30_18388_01.zip
Batman 31;b1\BATMAN31_18389_01.zip
Batman 32;b1\BATMAN32_18390_01.zip
Batman 33;b1\BATMAN33_18391_01.zip
Batman 34;b1\BATMAN34_18392_01.zip
Batman 35;b1\BATMAN35_18393_01.zip
Batman 36;b1\BATMAN36_18394_01.zip
Batman 37;b1\BATMAN37_18395_01.zip
Batman 38;b1\BATMAN38_18396_01.zip
Batman 39;b1\BATMAN39_18397_01.zip
Batman 40;b1\BATMAN40_18398_01.zip
Batman 41;b1\BATMAN41_18399_01.zip
Batman 42;b1\BATMAN42_18400_01.zip
Batman 43;b1\BATMAN43_18401_01.zip
Batman 44;b1\BATMAN44_18402_01.zip
Batman 45;b1\BATMAN45_18403_01.zip
Batman 46;b1\BATMAN46_18404_01.zip
Batman 47;b1\BATMAN47_18405_01.zip
Batman 48;b1\BATMAN48_18406_01.zip
Batman 49;b1\BATMAN49_18407_01.zip
Batman 50;b1\BATMAN50_18408_01.zip
Batman 51;b1\BATMAN51_18409_01.zip
Batman 52;b1\BATMAN52_18410_01.zip
Batman 53;b1\BATMAN53_18411_01.zip
Batman 54;b1\BATMAN54_18412_01.zip
Batman 55;b1\BATMAN55_18413_01.zip
Batman 56;b1\BATMAN56_18414_01.zip
Batman 57;b1\BATMAN57_18415_01.zip
Batman 58;b1\BATMAN58_18416_01.zip
Batman 59;b1\BATMAN59_18417_01.zip
Batman 60;b1\BATMAN60_18418_01.zip
Batman 61;b1\BATMAN61_18419_01.zip
Batman 62;b1\BATMAN62_18420_01.zip
Batman 63;b1\BATMAN63_18421_01.zip
Batman 64;b1\BATMAN64_18422_01.zip
Batman 65;b1\BATMAN65_18423_01.zip
Batman 66;b1\BATMAN66_18424_01.zip
Batman 67;b1\BATMAN67_18425_01.zip
Batman 68;b1\BATMAN68_18426_01.zip
Batman 69;b1\BATMAN69_18427_01.zip
Batman 70;b1\BATMAN70_18428_01.zip
Batman 71;b1\BATMAN71_18429_01.zip
Batman 72;b1\BATMAN72_18430_01.zip
Batman 73;b1\BATMAN73_18431_01.zip
Batman 74;b1\BATMAN74_18432_01.zip
Batman 75;b1\BATMAN75_18433_01.zip
Batman 76;b1\BATMAN76_18434_01.zip
Batman 77;b1\BATMAN77_18435_01.zip
Batman 78;b1\BATMAN78_18436_01.zip
Batman 79;b1\BATMAN79_18437_01.zip
Batman 80;b1\BATMAN80_18438_01.zip
Batman 81;b1\BATMAN81_18439_01.zip
Batman 82;b1\BATMAN82_18440_01.zip
Batman 83;b1\BATMAN83_18441_01.zip
Batman 84;b1\BATMAN84_18442_01.zip
Bat'n'Moth;b1\BATNMOTH_17771_01.zip
Batnum;b1\BATNUM_21875_01.zip
Batnum;b1\BATNUM2_28868_01.zip
Btor Lovag, A;b1\BATORLOV_13889_01.zip
Bats;b1\BATS_19683_01.zip
Battaglia Astrogalattica;b1\BATTASTR_21187_01.zip
Battaglia Lunare;b1\BATTAGLL_15390_03.zip
Battaglia Missilistica;b1\BATTAGLM_12043_01.zip
Battaglia Navale;b1\BATTAGN1_25465_01.zip
Battaglia Navale;b1\BATTAGN2_28385_01.zip
Battaglia Stellare;b1\BATTAGLI_09883_01.zip
Battalion Commander;b1\BATALLIO_00649_01.zip
Batter Up!;b1\BATTERUP_10494_01.zip
Battle;b1\BATTLE4_19388_01.zip
Battle;b1\BATTLE6_21876_01.zip
Battle;b1\BATTLE5_20201_01.zip
Battle;b1\BATTLE7_28910_01.zip
Battle;b1\BATTLE1_00655_02.zip
Battle;b1\BATTLE3_10522_01.zip
Battle;b1\BATTLE2_10521_01.zip
Battle [Preview];b1\BATTLE-_00656_02.zip
Battle 2000;b1\BATTLE2K_19260_01.zip
Battle 2001;b1\BATTLE21_25661_01.zip
Battle 64;b1\BATTLE64_00654_02.zip
Battle at Stonehenge;b1\BATTLEAS_11840_02.zip
Battle at Traitor's Castle;b1\BATTLETC_17326_01.zip
Battle Atak;b1\BATTLEAT_18753_01.zip
Battle Ball;b1\BATTLEBL_17506_01.zip
Battle Bars;b1\BATTLEBA_00657_01.zip
Battle Bound Project;b1\BATTLBP1_00658_01.zip
Battle Bound Project;b1\BATTLBP2_09105_02.zip
Battle Buggy;b1\BATTLEBU_10524_01.zip
Battle Chess;b1\BATCH-H0_13891_01.zip
Battle Chess;b1\BATCH-E0_00659_01.zip
Battle Chopper;b1\BATTLECH_00660_01.zip
Battle Command;b1\BATTLCMD_18616_01.zip
Battle Command;b1\BATTLECO_00661_01.zip
Battle Fear;b1\BATTLEFR_15892_01.zip
Battle for Normandy;b1\BATTLE4N_00664_02.zip
Battle for the Pacific;b1\BATTLEPW_28859_01.zip
Battle Group;b1\BATGROUP_00665_01.zip
Battle in Space;b1\BATTLEIN_13553_02.zip
Battle in the Fourth System;b1\BATTLEFS_24890_01.zip
Battle in the Woods;b1\BATTLEWO_27409_01.zip
Battle Island;b1\BATTLEIS_00666_01.zip
Battle Khaos;b1\BATTLEK1_16849_02.zip
Battle Khaos II;b1\BATTLEK2_25766_01.zip
Battle Kingdom;b1\BATTLEKI_29747_01.zip
Battle of Antietam;b1\BATTLEOA_00667_01.zip
Battle of Britain;b1\BATTLBR4_24093_01.zip
Battle of Britain;b1\BATTLBR1_00668_01.zip
Battle of Britain;b1\BATTLBR2_10527_01.zip
Battle of Britain;b1\BATTLBR3_13269_01.zip
Battle of Midway, The;b1\BATTLEOM_00669_02.zip
Battle of Rome;b1\BATTLEOR_00671_01.zip
Battle of the Parthian Kings;b1\BATTLEPK_10872_01.zip
Battle of the Planets;b1\BATTLEOP_00673_02.zip
Battle of the World;b1\BATTLEOW_09468_01.zip
Battle Planner;b1\BATTLEPL_26575_01.zip
Battle Ship 2045;b1\BATT2045_26596_01.zip
Battle Ships;b1\BATTLESH_14005_01.zip
Battle Ships;b1\BATTLESH_00676_01.zip
Battle Star;b1\BATTLEST_00677_01.zip
Battle Stations;b1\BATTLEST_00678_01.zip
Battle Tank;b1\BATTLTA1_15325_02.zip
Battle Tank II;
Battle Tank III;b1\BATTLTA3_19816_01.zip
Battle Tech [Preview];b1\BATTLET-_21357_01.zip
Battle Throne;b1\BATTLETH_20246_01.zip
Battle Through Time;b1\BATTLETT_00679_02.zip
Battle Tiger I;b1\BATTLETI_13461_01.zip
Battle Valley;b1\BATTLEVA_00680_01.zip
Battle War;b1\BATTLEWA_12048_01.zip
Battle, The;b1\BATTLE_18248_01.zip
Battlecruiser;b1\BATTLEC0_00681_01.zip
BattleDroidz;b1\BATTLEDR_00662_03.zip
Battlefield;b1\BATTLEF1_00663_02.zip
Battlefield;b1\BATTLEF2_00682_01.zip
Battlefield Earth;b1\BATTLEFE_10612_01.zip
Battlefront;b1\BATTLEFR_09794_03.zip
Battles in Normandy;b1\BATTNORM_16328_01.zip
Battles of Napoleon;b1\BATTNAP0_00683_01.zip
Battleship;b1\BATTLS06_13880_01.zip
Battleship;b1\BATTLS08_17550_01.zip
Battleship;b1\BATTLS04_14752_01.zip
Battleship;b1\BATTLS07_14751_01.zip
Battleship;b1\BATTLS10_19441_01.zip
Battleship;b1\BATTLS09_20816_01.zip
Battleship;b1\BATTLS11_23898_01.zip
Battleship;b1\BATTLS01_00684_01.zip
Battleship;b1\BATTLS02_00685_02.zip
Battleship;b1\BATTLS03_00686_02.zip
Battleship;b1\BATTLS05_09464_01.zip
Battleship 64!;b1\BATTLS64_16863_01.zip
Battleship Game;b1\BATTLSHG_15711_01.zip
Battleship War;b1\BATTLESW_10525_01.zip
Battleships;b1\BATTLSH3_18027_01.zip
Battleships;b1\BATTLSH2_17088_01.zip
Battleships;b1\BATTLSH6_19700_01.zip
Battleships;b1\BATTLSH1_14753_02.zip
Battleships;b1\BATTLSH4_22129_01.zip
Battleships;b1\BATTLSH5_23673_01.zip
Battleships;b1\BATTLSH7_29727_01.zip
Battle-Ships;b1\BATTLE-S_26250_01.zip
Battlestar;b1\BATTLSTR_27836_01.zip
Battlestar Fighter;b1\BATTSTF2_29462_01.zip
Battlestar Fighter;b1\BATTSTF1_09352_01.zip
Battlestar Galactica;b1\BATTLESG_22614_01.zip
Battletank;b1\BATTLETA_11034_01.zip
Battletech - The Crescent Hawk's Inception;b1\BATTLET0_00687_01.zip
Battletrance;b1\BATTLETR_10523_01.zip
Battlezone;b1\BATTLEZO_00688_03.zip
Battlot;b1\BATTLOT_30183_01.zip
Batty;b1\BATTY_00689_01.zip
Baudleship;b1\BAUDLESH_00690_02.zip
Bauernhof Nimmermd;b1\BAUERNHN_22592_01.zip
Bauern-Legen;b1\BAUERNLE_14754_01.zip
Bauernskat;b1\BAUERNSK_00691_02.zip
Bay Street;b1\BAYSTREE_09098_02.zip
Baywatch;b1\BAYWATCH_20630_02.zip
Baywatch Nights;b1\BAYWATNI_20631_02.zip
Bazair;b1\BAZAIR_00692_01.zip
Bazooka Bill;b1\BAZOOKAB_00693_01.zip
BB Barrage;b1\BBBARRAG_09673_02.zip
BB in Walesville;b1\BBWALESV_10148_01.zip
BB Investigates;b1\BBINVEST_10147_01.zip
B-Ball;b1\B-BALL_00523_02.zip
BBC Ask the Family;b1\BBCASKTF_20011_02.zip
BBC Mastermind;b1\BBCMASTR_19143_01.zip
B-Bert;b1\B-BERT_21489_01.zip
B-Bobs;b1\B-BOBS_00524_01.zip
BB's TV Hell;b1\BBTVHELL_10149_01.zip
Bburago Rally;b1\BBURAGOR_13890_01.zip
Bburago Rally;b1\BBURAGO0_01192_02.zip
BC Bill;b1\BCBILL_00694_03.zip
BC II - Grog's Revenge;b1\BC2GROGS_00695_02.zip
BC's Quest for Tires;b1\BCSQUEST_00696_02.zip
Be a Super Hero;b1\BEASHERO_19002_01.zip
Be Logical;b1\BELOGICL_00697_01.zip
Beach Bar Game;b1\BEACHBAR_27688_01.zip
Beach Blanket Volleyball;b1\BEACHBLV_00698_02.zip
Beach Buggy Simulator;b1\BEACHBUG_00699_02.zip
Beach Commando;b1\BEACHCOM_00700_01.zip
Beach Volley;b1\BEACHVOL_00701_02.zip
Beach-Head;b1\BEACHHD1_00702_02.zip
Beach-Head II - The Dictator Strikes Back!;b1\BEACHHD2_00703_02.zip
Beads in a Jar;b1\BEADSIAJ_26587_02.zip
Beaky and the Eggsnatchers;b1\BEAKYEGG_00704_02.zip
Beale Code - Treasure Hunting at Home;b1\BEALECOD_11959_01.zip
Beam;b1\BEAM2_20245_02.zip
BEAM;b1\BEAM_00705_01.zip
Beamrider;b1\BEAMRIDE_00706_02.zip
Beanstalk;b1\BEANSTLK_27197_01.zip
Bear Bovver;b1\BEARBOVV_00707_02.zip
Bear Essentials, The;b1\BEARESSE_27011_01.zip
Bear George;b1\BEARGEOR_00708_02.zip
Bear's Night Out, A;b1\BEARSNO0_24300_02.zip
Beast;b1\BEAST_15533_01.zip
Beast;b1\BEAST2_24314_01.zip
Beast [Preview];b1\BEAST-_13991_01.zip
Beast-Game [Preview];b1\BEASTGA-_00709_01.zip
Beastoids;b1\BEASTOID_00710_01.zip
Beat Ball;b1\BEATBALL_00711_03.zip
Beat Em Up [Preview];b1\BEATEMU-_27881_02.zip
Beat It! - Jammin' II;b1\BEATIT!_00712_02.zip
Beat Machine;b1\BEATMACH_18906_01.zip
Beat on the Brat;b1\BEATBRAT_18933_02.zip
Beat the Bug Eyes;b1\BEATBUGE_17322_01.zip
Beat the Clock - Add;b1\BTC-ADD_28084_01.zip
Beat the Clock - Decimal Fraction;b1\BTC-DECI_28085_01.zip
Beat the Clock - Divide;b1\BTC-DIV_28093_01.zip
Beat the Clock - Fractions;b1\BTC-FRAC_00740_01.zip
Beat the Clock - Multiply;b1\BTC-MULT_10855_01.zip
Beat the Clock - Percents;b1\BTC-PERC_10856_01.zip
Beatle Quest;b1\BEATLEQU_00713_01.zip
Beatnik Bert;b1\BEATNIKB_28376_01.zip
Beauty and the Beast [Preview];b1\BEAUTYAB_09193_01.zip
Because of a Cat;b1\BECAUSEC_10150_01.zip
Beckermat;b1\BECKERMA_00714_01.zip
Bedlam;b1\BEDLAM_00715_01.zip
Bee 52;b1\BEE52_00716_01.zip
Bee Insect Attacking;b1\BEEINSCT_29681_01.zip
Bee Zone;b1\BEEZONE_00717_02.zip
BeeHive;b1\BEEHIVE_09509_01.zip
Beekeeper;b1\BEEKEEP2_29351_01.zip
Beekeeper;b1\BEEKEEP1_00718_02.zip
Beelzebubbles;b1\BEELZEBU_20647_01.zip
Beep Boy [Preview];b1\BEEPBOY-_15781_01.zip
Beer Belly Burt's Brew Biz;b1\BEERBELL_00719_01.zip
Beerhunter;b1\BEERHUNT_28475_01.zip
Beetle;b1\BEETLE_00720_01.zip
Begin Irish;
Begriffe merken;b1\BEGRMERK_14755_01.zip
Begriffe raten;b1\BEGRIFFE_12774_01.zip
Behatols a Bzisra;b1\BEHATOLA_24281_01.zip
Behemoth [Preview];b1\BEHEMOT-_26099_02.zip
Behind Closed Doors I;b1\BEHINDC1_27723_02.zip
Behind Closed Doors II - The Sequel;b1\BEHINDC2_27722_02.zip
Behind Closed Doors III - Revenge of the Ants;b1\BEHINDC3_27721_02.zip
Behind Closed Doors IV - Balrog's Day Out;b1\BEHINDC4_28193_01.zip
Behind Closed Doors IX - Origami for Balrogs;b1\BEHINDC9_29559_01.zip
Behind Closed Doors V;b1\BEHINDC5_27720_01.zip
Behind Closed Doors VI;b1\BEHINDC6_27719_01.zip
Behind Closed Doors VII - Happiness is a Warm Pussy;b1\BEHINDC7_27645_01.zip
Behind Closed Doors VIII - The Pandemic;b1\BEHINDC8_28950_01.zip
Behind the Front;b1\BEHINDTF_00721_02.zip
Behold - Atlantis;b1\BEHOLDAT_10151_01.zip
Beholder;b1\BEHOLDR1_27184_01.zip
Beholder II;b1\BEHOLDR2_27185_01.zip
Beirut;b1\BEIRUT_22687_01.zip
Beirut '84;b1\BEIRUT84_10528_01.zip
Bekketrekker;b1\BEKKETRE_16298_01.zip
Bel Osero;b1\BELOSERO_11323_01.zip
Belagerung;b1\BELAGER1_00722_01.zip
Belagerung II;b1\BELAGER2_08942_01.zip
Belle Lucie, La;b1\BELLELUC_16554_01.zip
Bellhop;
Bellringer;b1\BELLRIN1_16263_02.zip
Bellringer II;b1\BELLRIN2_18735_02.zip
Bellringer III;b1\BELLRIN3_24796_02.zip
Belote;b1\BELOTE_19500_01.zip
Belote retourne;b1\BELOTERE_15452_02.zip
Below the Root;b1\BELOWTR0_00723_01.zip
Ben;b1\BEN_00724_01.zip
Ben Hur;b1\BENHUR_16650_01.zip
Bena 2352;b1\BENA2352_19653_01.zip
Beneath Folly;b1\BENEATHF_22867_01.zip
Beneath the Tenement;b1\BENEATHT_00725_01.zip
Benji - Space Rescue;b1\BENJISPA_00726_02.zip
Bepi a Venezia;b1\BEPIAVEN_21583_01.zip
Beppe Kid;b1\BEPPEKID_26336_01.zip
Berania;b1\BERANI-A_09106_01.zip
Bergbert - Der Rcher;b1\BERGBERT_23370_01.zip
Bergbert III - The Blue Knight;b1\BERGBER3_26964_01.zip
Bergfex, Der;b1\BERGFEX_13926_01.zip
Bergwerk;b1\BERGWRK2_22591_01.zip
Bergwerk;b1\BERGWRK1_12074_01.zip
Bering;b1\BERING_00727_01.zip
Berks Four;b1\BERKS4_28124_01.zip
Bernard;b1\BERNARD_22787_01.zip
Bernie's Tower;b1\BERNIEST_24716_01.zip
Berries;b1\BERRIES_00728_02.zip
Berserker Raids;b1\BERSERKR_14756_02.zip
Berserkotron;
Berserkotron;b1\BERSERK1_17694_01.zip
Bert the Bug Bites Back;b1\BERTTBUG_00729_01.zip
Bertram der Bandwurm;b1\BERTRAM_21482_01.zip
Berty;b1\BERTY1_10050_01.zip
Berty II;b1\BERTY2_11651_01.zip
Berzerk;b1\BERZERK2_13714_01.zip
Berzerk;b1\BERZERK1_21621_04.zip
Berzerk;b1\BERZERK3_24651_01.zip
Berzerk;b1\BERZERK4_30228_01.zip
Berzurk;b1\BERZURK_19591_01.zip
Besieged;b1\BESIEGED_00730_01.zip
Besieged;b1\BESIEGE2_09207_02.zip
Best of Chess - Volume I: American Triumph;b1\BESTOFCH_15145_02.zip
Best of Knibble;b1\BESTOFKN_16343_01.zip
Best of Powerdash, The;b1\BESTOFPD_09974_01.zip
Best of Stormdash;b1\BESTOFST_18554_01.zip
Bestseller;b1\BESTSELL_11943_01.zip
Besuch aus dem All;
Beton Rats;b1\BETONRAT_00731_01.zip
Betrs a Bzisra;b1\BETORES_00732_01.zip
Betrayal;b1\BETRAYAL_00733_01.zip
Bets;b1\BETS2_15873_01.zip
Bets;b1\BETS4_29464_01.zip
Bets;b1\BETS3_29265_01.zip
Bets;b1\BETS1_10529_01.zip
Betsy Ross;b1\BETSYROS_12650_02.zip
Better Dead Than Alien!;b1\BETTERDE_00734_02.zip
Better Dead Than Anthoni;b1\BETTERDA_00735_02.zip
Better French;
Better Irish;
Better Maths;
Better Spelling;b1\BETTERSP_24877_02.zip
Betting Hi/Lo Game;b1\BETTINGH_15684_01.zip
Betty Big-Brain;b1\BETTYBIG_23522_01.zip
Betkirak;b1\BETUKIRA_16709_01.zip
Betulla;b1\BETULLA_21049_01.zip
Betu-szm kitall;b1\BETUSZAM_20675_01.zip
Between;b1\BETWEEN_26586_01.zip
Between Poker;b1\BETWEENP_10530_01.zip
Beursspel;b1\BEURSSPL_29335_01.zip
Beverly Hills Cop;b1\BEVERLY_00736_01.zip
Bewitched [Preview];b1\BEWITCH-_23386_02.zip
Beyond Castle Wolfenstein;b1\BEYCWOLF_00737_01.zip
Beyond Dark Castle;b1\BEYONDD0_00738_01.zip
Beyond Night Run;b1\BEYONDNR_00739_02.zip
Beyond the Black Hole;b1\BEYONDBH_10531_04.zip
Beyond the Forbidden Forest;b1\BEYONDFF_00741_01.zip
Beyond the Ice Palace;b1\BEYONDIP_00742_03.zip
Beyond, The;b1\BEYOND-E_26716_01.zip
Beyond, The;b1\BEYOND-N_00743_01.zip
Biathlon;b2\BIATHLO2_14619_01.zip
Biathlon;b2\BIATHLO1_00744_01.zip
Bible Divisions, Paul's Letters & The Gospels;b2\BIBLEDIV_10535_01.zip
Bible Quiz;b2\BIBLEQUI_24012_01.zip
Biblet Basher;b2\BIBLETBA_10532_01.zip
Bici;b2\BICI_21175_01.zip
Bicicle Race;b2\BICICLER_12049_01.zip
Bicicotteri;b2\BICICOTT_21155_01.zip
Bicycle Rider to Hunt;b2\BICYCLER_26952_01.zip
Biene Maja;b2\BIENEMAJ_00745_01.zip
Bierkiste;b2\BIERKIST_19277_01.zip
Biero-City;b2\BIEROCIT_11180_01.zip
Biff;b2\BIFF_00746_02.zip
Big 6;b2\BIG6_24013_01.zip
Big Alphabet;b2\BIGALPHA_16834_01.zip
Big Bad Wolf;b2\BIGBADWO_15593_01.zip
Big Ben;b2\BIGBEN_00747_02.zip
Big Bird's Funhouse;b2\BIGBIRDF_14586_02.zip
Big Bird's Special Delivery;b2\BIGBIRDS_16155_01.zip
Big Bird's Special Delivery;b2\BIGBIRDS_00748_01.zip
Big Blue Elephants;b2\BIGBLUEE_15837_01.zip
Big Boss;b2\BIGBOSS_11639_01.zip
Big Brother;b2\BIGBROTH_19725_01.zip
Big Deal, The - Floyd in der Kche;b2\BIGDEA-D_09349_01.zip
Big Deal, The - Floyd the Droid on Food;b2\BIGDEA-E_00749_01.zip
Big Face;b2\BIGFACE_26558_01.zip
Big Fish Tale;b2\BIGFISHT_16000_01.zip
Big Freeze, The;
Big Game Fishing;b2\BIGGAMEF_00750_01.zip
Big Gun No.1;b2\BIGGUNN1_29954_01.zip
Big Guns;b2\BIGGUNS_21701_01.zip
Big Hunter III;b2\BIGHUNT3_24198_01.zip
Big Joe's Space Rig;b2\BIGJOESR_23526_01.zip
Big KO, The;b2\BIGKO_00751_02.zip
Big League Bisley;b2\BIGLEAGU_16637_01.zip
Big Mac - The Mad Maintenance Man;b2\BIGMAC_00752_07.zip
Big Mad;b2\BIGMAD_15146_02.zip
Big Math;b2\BIGMATH_16710_01.zip
Big Maze, The;b2\BIGMAZE_23494_01.zip
Big Mech Alpha;b2\BIGMECHA_26131_02.zip
Big Momma;b2\BIGMOMM1_15854_03.zip
Big Momma II - Momma Strikes Back;b2\BIGMOMM2_15855_03.zip
Big Ohm's Law;b2\BIGOHMSL_20511_01.zip
Big Road Challenge III;b2\BIGROAD3_26598_01.zip
Big Sleaze, The;b2\BIGSLEAZ_00753_01.zip
Big Star Trader, The;b2\BIGSTART_10967_01.zip
Big Time Bugger;b2\BIGTIMEB_29819_01.zip
Big Top;b2\BIGTOP_27237_01.zip
Big Trouble in Little China;b2\BIGTROUB_00754_02.zip
